"endpoint","check","passes","fails"
"POST _api_V2_internal_ConsumerGroups","POST _api_V2_internal_ConsumerGroups status is 404","0","9"
"GET _ngrx_record_v1_levels_12100","GET _ngrx_record_v1_levels_12100 status is 404","0","6"
"GET _api_V2_internal_AppearanceThemes_GetActive","GET _api_V2_internal_AppearanceThemes_GetActive status is 404","0","3"
"GET _api_V2_internal_UserProfile_7648__id_7648","GET _api_V2_internal_UserProfile_7648__id_7648 status is 404","0","3"
"GET _api_V2_internal_UserProfileImage","GET _api_V2_internal_UserProfileImage status is 404","0","3"
"GET _apps_ArcherApp_ArcherApp_aspx","GET _apps_ArcherApp_ArcherApp_aspx status is 404","0","3"
"GET _ngrx_profile_User_7648_additionalInfo","GET _ngrx_profile_User_7648_additionalInfo status is 404","0","3"
"GET _ngrx_record_v1_about_version_all","GET _ngrx_record_v1_about_version_all status is 404","0","3"
"GET _ngrx_record_v1_contents_788029","GET _ngrx_record_v1_contents_788029 status is 404","0","3"
"GET _ngrx_record_v1_contents_788029_data_driven_events","GET _ngrx_record_v1_contents_788029_data_driven_events status is 404","0","3"
"GET _ngrx_record_v1_contents_788029_layout","GET _ngrx_record_v1_contents_788029_layout status is 404","0","3"
"GET _ngrx_record_v1_instance","GET _ngrx_record_v1_instance status is 404","0","3"
"GET _ngrx_record_v1_levels_12100_data_driven_events","GET _ngrx_record_v1_levels_12100_data_driven_events status is 404","0","3"
"GET _ngrx_record_v1_levels_12100_image_fields","GET _ngrx_record_v1_levels_12100_image_fields status is 404","0","3"
"GET _ngrx_record_v1_modules_10145_levels","GET _ngrx_record_v1_modules_10145_levels status is 404","0","3"
"GET _ngrx_record_v1_modules_task_access_moduleIds_10145","GET _ngrx_record_v1_modules_task_access_moduleIds_10145 status is 404","0","3"
"GET _ngrx_record_v2_contents_788029_summary","GET _ngrx_record_v2_contents_788029_summary status is 404","0","3"
"GET _ngrx_record_v2_levels_12100_default_layout","GET _ngrx_record_v2_levels_12100_default_layout status is 404","0","3"
"GET _plugins_json_id_1785735452772","GET _plugins_json_id_1785735452772 status is 404","0","3"
"POST _ngrx_record_v1_contents","POST _ngrx_record_v1_contents status is 404","0","3"
"POST _ngrx_record_v1_levels_12100_contents_788029_history","POST _ngrx_record_v1_levels_12100_contents_788029_history status is 404","0","3"
